Country Name,"Country Code","Series Name","Series Code","1996 [YR1996]","2000 [YR2000]","2004 [YR2004]","2008 [YR2008]","2012 [YR2012]","2016 [YR2016]","2020 [YR2020]"
Afghanistan,"AFG","Control of Corruption: Estimate","CC.EST","-1.29170477390289","-1.27172422409058","-1.35064733028412","-1.67209553718567","-1.43037283420563","-1.53404927253723","-1.48053777217865"
Afghanistan,"AFG","Control of Corruption: Number of Sources","CC.NO.SRC","2","2","5","7","10","10","9"
Afghanistan,"AFG","Control of Corruption: Percentile Rank","CC.PER.RNK","4.30107545852661","4.78723382949829","6.40394067764282","0.485436886548996","1.42180097103119","3.8461537361145","4.807692527771"
Afghanistan,"AFG","Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval","CC.PER.RNK.LOWER","0","0","0","0","0","0","0"
Afghanistan,"AFG","Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval","CC.PER.RNK.UPPER","27.4193553924561","30.8510646820068","15.2709360122681","4.36893224716187","11.8483409881592","9.61538505554199","10.5769233703613"
Afghanistan,"AFG","Control of Corruption: Standard Error","CC.STD.ERR","0.340506970882416","0.346905559301376","0.213201358914375","0.22434464097023","0.186088413000107","0.164447620511055","0.157702177762985"
Afghanistan,"AFG","Government Effectiveness: Estimate","GE.EST","-2.17516660690308","-2.17394614219666","-0.909888744354248","-1.53343546390533","-1.37641882896423","-1.25418150424957","-1.58514487743378"
Afghanistan,"AFG","Government Effectiveness: Number of Sources","GE.NO.SRC","1","1","4","6","8","8","7"
Afghanistan,"AFG","Government Effectiveness: Percentile Rank","GE.PER.RNK","0","0","18.9054718017578","3.39805817604065","5.68720388412476","8.17307662963867","5.28846168518066"
Afghanistan,"AFG","Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval","GE.PER.RNK.LOWER","0","0","5.97014904022217","0.485436886548996","0.473933637142181","4.807692527771","1.44230771064758"
Afghanistan,"AFG","Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval","GE.PER.RNK.UPPER","1.63934421539307","2.7322404384613","38.3084564208984","13.1067962646484","15.6398105621338","18.75","12.0192308425903"
Afghanistan,"AFG","Government Effectiveness: Standard Error","GE.STD.ERR","0.187617555260658","0.331546425819397","0.238530024886131","0.278414696455002","0.227970987558365","0.227726027369499","0.276942580938339"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-2.41730952262878","-2.43896889686584","-2.29568219184875","-2.69136095046997","-2.41856145858765","-2.67105388641357","-2.70502972602844"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","2","2","4","3","5","6","5"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Percentile Rank","PV.PER.RNK","2.12765955924988","0.52910053730011","1.94174754619598","0.480769217014313","1.89573454856873","0.952380955219269","0.471698105335236"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval","PV.PER.RNK.LOWER","0","0","0.485436886548996","0","0","0","0"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval","PV.PER.RNK.UPPER","6.91489362716675","5.8201060295105","4.36893224716187","1.92307686805725","3.79146909713745","3.33333325386047","2.35849046707153"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Standard Error","PV.STD.ERR","0.47480720281601","0.453906059265137","0.304597765207291","0.309818059206009","0.243881538510323","0.219707995653152","0.245315119624138"
Afghanistan,"AFG","Regulatory Quality: Estimate","RQ.EST","-2.09033036231995","-2.0802526473999","-1.51154899597168","-1.60716688632965","-1.19257974624634","-1.33658170700073","-1.40276098251343"
Afghanistan,"AFG","Regulatory Quality: Number of Sources","RQ.NO.SRC","1","1","4","5","8","9","8"
Afghanistan,"AFG","Regulatory Quality: Percentile Rank","RQ.PER.RNK","1.63043475151062","1.63043475151062","5.97014904022217","3.39805817604065","10.4265403747559","7.21153831481934","8.17307662963867"
Afghanistan,"AFG","Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval","RQ.PER.RNK.LOWER","0","0","1.49253726005554","2.42718458175659","4.7393364906311","3.8461537361145","3.8461537361145"
Afghanistan,"AFG","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval","RQ.PER.RNK.UPPER","5.97826099395752","7.60869550704956","12.93532371521","7.76699018478394","21.8009471893311","12.5","11.5384616851807"
Afghanistan,"AFG","Regulatory Quality: Standard Error","RQ.STD.ERR","0.386360377073288","0.416249960660934","0.224410235881805","0.203280687332153","0.183461114764214","0.196979656815529","0.214829325675964"
Afghanistan,"AFG","Rule of Law: Estimate","RL.EST","-1.78807544708252","-1.78066074848175","-1.6939252614975","-1.90330755710602","-1.6518931388855","-1.51238059997559","-1.81989753246307"
Afghanistan,"AFG","Rule of Law: Number of Sources","RL.NO.SRC","3","3","6","9","11","11","10"
Afghanistan,"AFG","Rule of Law: Percentile Rank","RL.PER.RNK","1.50753772258759","1.49253726005554","2.4038462638855","0.480769217014313","1.4084507226944","5.76923084259033","2.4038462638855"
Afghanistan,"AFG","Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval","RL.PER.RNK.LOWER","0","0","0","0","0","1.92307686805725","0.480769217014313"
Afghanistan,"AFG","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval","RL.PER.RNK.UPPER","12.5628137588501","9.45273590087891","6.73076915740967","3.8461537361145","5.63380289077759","9.61538505554199","4.807692527771"
Afghanistan,"AFG","Rule of Law: Standard Error","RL.STD.ERR","0.350509405136108","0.291758239269257","0.21454069018364","0.227184697985649","0.169416144490242","0.17765049636364","0.160279721021652"
Afghanistan,"AFG","Voice and Accountability: Estimate","VA.EST","-1.90854012966156","-2.03141713142395","-1.20303392410278","-1.16890180110931","-1.26743006706238","-1.03778803348541","-1.07773637771606"
Afghanistan,"AFG","Voice and Accountability: Number of Sources","VA.NO.SRC","4","4","7","10","11","10","9"
Afghanistan,"AFG","Voice and Accountability: Percentile Rank","VA.PER.RNK","1","0.995024859905243","15.384614944458","14.4230766296387","14.0845069885254","20.6896553039551","19.8067626953125"
Afghanistan,"AFG","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","0","0","7.21153831481934","9.13461494445801","6.57277011871338","13.3004922866821","13.5265703201294"
Afghanistan,"AFG","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","9.5","5.47263669967651","21.634614944458","21.634614944458","16.4319248199463","23.645320892334","23.6714973449707"
Afghanistan,"AFG","Voice and Accountability: Standard Error","VA.STD.ERR","0.261457115411758","0.254042536020279","0.17559015750885","0.143898978829384","0.134757056832314","0.129876375198364","0.131838828325272"
